Creacion 11/05/2018 11:16:27 a.m.
CLIENTE_ID|FECHA_ALTA|FECHA_CONFIRM|FECHA_BAJA|STATUS|SYSDATE
3970546|2018/05/03|2018/05/03||18|2018/05/11
3970554|2018/05/03|2018/05/03||18|2018/05/11
3970575|2018/05/03|2018/05/03||18|2018/05/11
3970603|2018/05/03|2018/05/03||18|2018/05/11
3970692|2018/05/03|2018/05/03||1|2018/05/11
3970698|2018/05/03|2018/05/03||1|2018/05/11
3970798|2018/05/03|2018/05/03||1|2018/05/11
3970815|2018/05/03|2018/05/03||1|2018/05/11
3970825|2018/05/03|2018/05/03||1|2018/05/11
3970858|2018/05/03|2018/05/03||1|2018/05/11
3970963|2018/05/03|2018/05/03||1|2018/05/11
3971000|2018/05/03|2018/05/03||1|2018/05/11
3971201|2018/05/03|2018/05/03||1|2018/05/11
3971334|2018/05/03|2018/05/03||30|2018/05/11
3971335|2018/05/03|2018/05/03||30|2018/05/11
3971336|2018/05/03|2018/05/03||30|2018/05/11
3971337|2018/05/03|2018/05/03||30|2018/05/11
3971338|2018/05/03|2018/05/03||30|2018/05/11
3971339|2018/05/03|2018/05/03||30|2018/05/11
3971340|2018/05/03|2018/05/03||30|2018/05/11
3971341|2018/05/03|2018/05/03||30|2018/05/11
3971342|2018/05/03|2018/05/03||30|2018/05/11
3971343|2018/05/03|2018/05/03||30|2018/05/11
3971344|2018/05/03|2018/05/03||30|2018/05/11
3971345|2018/05/03|2018/05/03||30|2018/05/11
3971346|2018/05/03|2018/05/03||30|2018/05/11
3971347|2018/05/03|2018/05/03||30|2018/05/11
3971348|2018/05/03|2018/05/03||30|2018/05/11
3971349|2018/05/03|2018/05/03||30|2018/05/11
3971350|2018/05/03|2018/05/03||30|2018/05/11
3971351|2018/05/03|2018/05/03||30|2018/05/11
3971352|2018/05/03|2018/05/03||30|2018/05/11
3971353|2018/05/03|2018/05/03||30|2018/05/11
3971354|2018/05/03|2018/05/03||30|2018/05/11
3971355|2018/05/03|2018/05/03||30|2018/05/11
3971356|2018/05/03|2018/05/03||30|2018/05/11
3971357|2018/05/03|2018/05/03||30|2018/05/11
3971358|2018/05/03|2018/05/03||30|2018/05/11
3971359|2018/05/03|2018/05/03||30|2018/05/11
3971360|2018/05/03|2018/05/03||30|2018/05/11
3971361|2018/05/04|2018/05/04||1|2018/05/11
3971362|2018/05/03|2018/05/03||30|2018/05/11
3971363|2018/05/03|2018/05/03||30|2018/05/11
3971364|2018/05/03|2018/05/03||30|2018/05/11
3971365|2018/05/03|2018/05/03||30|2018/05/11
3971366|2018/05/03|2018/05/03||30|2018/05/11
3971367|2018/05/03|2018/05/03||30|2018/05/11
3971368|2018/05/03|2018/05/03||30|2018/05/11
3971369|2018/05/03|2018/05/03||30|2018/05/11
3971370|2018/05/03|2018/05/03||30|2018/05/11
3971371|2018/05/03|2018/05/03||30|2018/05/11
3971372|2018/05/04|2018/05/04||1|2018/05/11
3971373|2018/05/03|2018/05/03||30|2018/05/11
3971374|2018/05/03|2018/05/03||30|2018/05/11
3971375|2018/05/03|2018/05/03||30|2018/05/11
3971376|2018/05/03|2018/05/03||30|2018/05/11
3971377|2018/05/04|2018/05/04||1|2018/05/11
3971378|2018/05/04|2018/05/04||1|2018/05/11
3971379|2018/05/03|2018/05/03||30|2018/05/11
3971380|2018/05/03|2018/05/03||30|2018/05/11
3971381|2018/05/03|2018/05/03||30|2018/05/11
3971669|2018/05/04|2018/05/04||18|2018/05/11
3971692|2018/05/04|2018/05/04||18|2018/05/11
3971725|2018/05/04|2018/05/04||18|2018/05/11
3971756|2018/05/04|2018/05/04||18|2018/05/11
3971788|2018/05/04|2018/05/04||18|2018/05/11
3972238|2018/05/04|2018/05/04||18|2018/05/11
3972240|2018/05/04|2018/05/04||1|2018/05/11
3972273|2018/05/04|2018/05/04||1|2018/05/11
3972501|2018/05/04|2018/05/04||18|2018/05/11
3972563|2018/05/04|2018/05/04||30|2018/05/11
3972564|2018/05/04|2018/05/04||30|2018/05/11
3972565|2018/05/04|2018/05/04||30|2018/05/11
3972566|2018/05/04|2018/05/04||30|2018/05/11
3972567|2018/05/04|2018/05/04||30|2018/05/11
3972568|2018/05/04|2018/05/04||30|2018/05/11
3972569|2018/05/04|2018/05/04||30|2018/05/11
3972570|2018/05/04|2018/05/04||30|2018/05/11
3972571|2018/05/04|2018/05/04||30|2018/05/11
3972572|2018/05/04|2018/05/04||30|2018/05/11
3972573|2018/05/04|2018/05/04||30|2018/05/11
3972574|2018/05/04|2018/05/04||30|2018/05/11
3972575|2018/05/04|2018/05/04||30|2018/05/11
3972576|2018/05/04|2018/05/04||30|2018/05/11
3972577|2018/05/04|2018/05/04||30|2018/05/11
3972578|2018/05/04|2018/05/04||30|2018/05/11
3972579|2018/05/04|2018/05/04||30|2018/05/11
3972580|2018/05/04|2018/05/04||30|2018/05/11
3972581|2018/05/04|2018/05/04||30|2018/05/11
3972582|2018/05/08|2018/05/08||18|2018/05/11
3972583|2018/05/04|2018/05/04||30|2018/05/11
3972584|2018/05/04|2018/05/04||30|2018/05/11
3972585|2018/05/04|2018/05/04||30|2018/05/11
3972586|2018/05/04|2018/05/04||30|2018/05/11
3972587|2018/05/04|2018/05/04||30|2018/05/11
3972588|2018/05/04|2018/05/04||30|2018/05/11
3972589|2018/05/04|2018/05/04||30|2018/05/11
3972590|2018/05/09|2018/05/09||18|2018/05/11
3972591|2018/05/09|2018/05/09||22|2018/05/11
3972592|2018/05/04|2018/05/04||30|2018/05/11
